analysis_type,analysis_label,direction,pathway_library,pathway,enrichment_p_value,enrichment_adjusted_p_value,overlap_count,overlap_size,overlap,input_candidate_count,gene_ratio,candidate_genes,Level1_count,Level2_count,Level3_count,Level4_count,Level5_count,strongest_candidate_origin,pathway_priority
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,KEGG_2021_Human,PPAR signaling pathway,0.0148718480800553,0.0743592404002767,3,74,3/74,139,0.02158273381294964,ACSL1;DBI;ACSL3,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,0.0048736154955961,0.0770640450241148,4,98,4/98,139,0.02877697841726619,EIF3I;EIF3E;RPS2;EIF3D,0,0,0,4,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,GO_Biological_Process_2023,Purine Ribonucleoside Monophosphate Biosynthetic Process (GO:0009168),0.0025313777538768,0.0799425426143695,2,11,2/11,139,0.014388489208633094,GMPS;PAICS,0,0,0,2,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Cellular Responses To Stress R-HSA-2262752,0.007856687220379,0.0832740309398922,9,722,9/722,96,0.09375,DCTN6;PSMC6;RPS29;RPL12;PRDX1;DCTN3;HMOX1;RPL27;RBX1,0,0,0,6,3,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Cellular Responses To Stimuli R-HSA-8953897,0.0088509133685019,0.0832740309398922,9,736,9/736,96,0.09375,DCTN6;PSMC6;RPS29;RPL12;PRDX1;DCTN3;HMOX1;RPL27;RBX1,0,0,0,6,3,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Membrane Trafficking R-HSA-199991,0.0081572042161701,0.0832740309398922,8,599,8/599,96,0.08333333333333333,DCTN6;COPB2;CENPE;TF;DCTN3;CHMP4B;COPZ1;RAB8B,0,0,0,7,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Transport To Golgi And Subsequent Modification R-HSA-948021,0.008072241839805,0.0832740309398922,4,164,4/164,96,0.041666666666666664,DCTN6;COPB2;DCTN3;COPZ1,0,0,0,4,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Peptide Chain Elongation R-HSA-156902,0.0082265737933977,0.0832740309398922,3,86,3/86,96,0.03125,RPS29;RPL12;RPL27,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Selenocysteine Synthesis R-HSA-2408557,0.0093147685615091,0.0832740309398922,3,90,3/90,96,0.03125,RPS29;RPL12;RPL27,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Eukaryotic Translation Elongation R-HSA-156842,0.0093147685615091,0.0832740309398922,3,90,3/90,96,0.03125,RPS29;RPL12;RPL27,0,0,0,2,1,Level 4,Priority 4 — Exploratory
