analysis_type,analysis_label,direction,pathway_library,pathway,enrichment_p_value,enrichment_adjusted_p_value,overlap_count,overlap_size,overlap,input_candidate_count,gene_ratio,candidate_genes
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",0.037773103504928095,0.05072388184947487,1,94,1/94,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Response To Epidermal Growth Factor (GO:0070849),0.012187130445432454,0.029219282374811723,1,30,1/30,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Response To Estradiol (GO:0032355),0.01259122652624839,0.029219282374811723,1,31,1/31,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Response To Lipid (GO:0033993),0.04408255061971672,0.05755221886463016,1,110,1/110,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Response To Organic Cyclic Compound (GO:0014070),0.023449867995395595,0.03799203778739911,1,58,1/58,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Response To Peptide (GO:1901652),0.01541604373961767,0.029573634929062467,1,38,1/38,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Response To Peptide Hormone (GO:0043434),0.02224828890859976,0.03799203778739911,1,55,1/55,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Small Nucleolar Ribonucleoprotein Complex Assembly (GO:0000491),0.004076219971750377,0.029219282374811723,1,10,1/10,6,0.16666666666666666,ZNHIT3
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Spliceosomal snRNP Assembly (GO:0000387),0.015012911233983557,0.02940028449988447,1,37,1/37,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Taurine Metabolic Process (GO:0019530),0.0028548105488495658,0.029219282374811723,1,7,1/7,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,mRNA Processing (GO:0006397),0.08425940294116499,0.09318098678199423,1,214,1/214,6,0.16666666666666666,SRRM2
