analysis_type,analysis_label,direction,pathway_library,pathway,candidate_gene,row_position,Gene.name,Accession,candidate_origin,log2FC,t_statistic,p_value,q_value
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Signaling By WNT R-HSA-195721,SKP1,1150,SKP1,P63208,Level 5,-0.2820909371907554,-2.109643682587185,0.0491521552217693,0.3823761996193917
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Smooth Muscle Contraction R-HSA-445355,ALDH2,368,ALDH2,P05091,Level 5,-0.5804175068052686,-2.5843619612319935,0.0187037906145028,0.2742757355037173
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Stimuli-sensing Channels R-HSA-2672351,CLIC2,96,CLIC2,O15247,Level 4,-0.6878042544155356,-2.323198792213198,0.0320831743632995,0.3188958582561734
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Striated Muscle Contraction R-HSA-390522,DES,614,DES,P17661,Level 4,-2.6752026100232484,-2.814520861410247,0.011473868366407,0.2008716045867819
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Sulfide Oxidation To Sulfate R-HSA-1614517,ETHE1,225,ETHE1,O95571,Level 4,-1.3922916069783966,-3.796402530421344,0.0013219454877671,0.083761027947181
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Sulfur Amino Acid Metabolism R-HSA-1614635,ENOPH1,1849,ENOPH1,Q9UHY7,Level 4,-0.8172072222759326,-2.4598527443877565,0.0242446070690837,0.2904917859192044
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Sulfur Amino Acid Metabolism R-HSA-1614635,ETHE1,225,ETHE1,O95571,Level 4,-1.3922916069783966,-3.796402530421344,0.0013219454877671,0.083761027947181
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Suppression Of Phagosomal Maturation R-HSA-9637687,RAB7A,966,RAB7A,P51149,Level 5,-0.3722216352064933,-3.1730199500384666,0.0052655250384848,0.154354207510607
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Switching Of Origins To A Post-Replicative State R-HSA-69052,SKP1,1150,SKP1,P63208,Level 5,-0.2820909371907554,-2.109643682587185,0.0491521552217693,0.3823761996193917
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Syndecan Interactions R-HSA-3000170,ITGB1,388,ITGB1,P05556,Level 4,-0.6331966036459988,-2.386862555517469,0.0281758148681036,0.2977190705721081
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Synthesis Of DNA R-HSA-69239,PCNA,528,PCNA,P12004,Level 4,-1.024176784020625,-2.890346350504444,0.0097464292888153,0.1934518540658797
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Synthesis Of DNA R-HSA-69239,SKP1,1150,SKP1,P63208,Level 5,-0.2820909371907554,-2.109643682587185,0.0491521552217693,0.3823761996193917
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Synthesis Of PA R-HSA-1483166,GPD1,656,GPD1,P21695,Level 5,-0.3931361494545058,-2.238836689486877,0.0380378988111485,0.3366868070446254
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Synthesis Of Very Long-Chain Fatty acyl-CoAs R-HSA-75876,ACSL1,793,ACSL1,P33121,Level 4,-0.9035019358881868,-2.386772020761066,0.0281810417946117,0.2977190705721081
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Synthesis Of Very Long-Chain Fatty acyl-CoAs R-HSA-75876,ACSL3,226,ACSL3,O95573,Level 4,-1.5745876610736076,-2.268234457660479,0.0358556568069044,0.3323413472904118
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Synthesis, Secretion, And Inactivation Of Glucagon-like Peptide-1 (GLP-1) R-HSA-381771",DPP4,727,DPP4,P27487,Level 4,-1.104029330197747,-2.2837359555077508,0.0347521120059701,0.3267363640752693
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Synthesis, Secretion, And Inactivation Of Glucose-dependent Insulinotropic Polypeptide (GIP) R-HSA-400511",DPP4,727,DPP4,P27487,Level 4,-1.104029330197747,-2.2837359555077508,0.0347521120059701,0.3267363640752693
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,TBC/RABGAPs R-HSA-8854214,RAB7A,966,RAB7A,P51149,Level 5,-0.3722216352064933,-3.1730199500384666,0.0052655250384848,0.154354207510607
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,TCR Signaling R-HSA-202403,SKP1,1150,SKP1,P63208,Level 5,-0.2820909371907554,-2.109643682587185,0.0491521552217693,0.3823761996193917
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,TFAP2A Acts As A Transcriptional Repressor During Retinoic Acid Induced Cell Differentiation R-HSA-8869496,HSPD1,1947,HSPD1,P10809,Level 3,-0.4047655010612629,-5.450128855654962,3.5419976483697945e-05,0.0110929915834416
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789,ITGB1,388,ITGB1,P05556,Level 4,-0.6331966036459988,-2.386862555517469,0.0281758148681036,0.2977190705721081
