,NDM_B1_01,NDM_B1_02,NDM_B1_03,NDM_B1_04,NDM_B1_05,NDM_B2_06,NDM_B2_07,NDM_B2_08,NDM_B2_09,NDM_B2_10,DM_B1_11,DM_B1_12,DM_B1_13,DM_B1_14,DM_B1_15,DM_B2_16,DM_B2_17,DM_B2_18,DM_B2_19,DM_B2_20
DM_B1_11,0.8634988213972008,0.8427938734468968,0.8705048905123246,0.8566022539961939,0.8733170834533068,0.8812989600374381,0.8557052946695881,0.8621789164619476,0.8557928380204588,0.8542961492204091,1.0,0.8649431163439301,0.8665330582210184,0.8853288170003294,0.8787492239250209,0.8712287775195904,0.8847432807427748,0.8798046756402773,0.8841027162925043,0.8790929324354069
DM_B1_12,0.874023991970466,0.8768505895277209,0.8716121285225162,0.8665246449787443,0.8717404776391803,0.8726504266619164,0.8613683153540774,0.8633578262075473,0.8585688528943862,0.8429207211695103,0.8649431163439301,1.0,0.8744182411462867,0.8767107043563982,0.8649447100298582,0.8694659057945805,0.8752515765567881,0.887643952712994,0.8808239646339021,0.8752593355631352
DM_B1_13,0.8703883050561407,0.8496929271113662,0.8612225214678606,0.8570815244972407,0.8653350533905246,0.8655859699328997,0.850215455109178,0.8461446558815771,0.8606948325488714,0.8427125580361902,0.8665330582210184,0.8744182411462867,1.0,0.864880473200622,0.8732756495141574,0.8602256736960399,0.8701080004775537,0.8679575596612582,0.8636979563421461,0.8667518297639912
DM_B1_14,0.8820975319450403,0.8594503338918642,0.866918633324052,0.8587293857545509,0.8640776071734818,0.9005373392372364,0.9023645568522414,0.892363585291491,0.8990984737194028,0.9001883846745383,0.8853288170003294,0.8767107043563982,0.864880473200622,1.0,0.8845363211179733,0.9151303187753683,0.913676668591052,0.9105057437004301,0.9143422963787956,0.9175581011389428
DM_B1_15,0.8839571282692599,0.8540852972826873,0.869482195878737,0.8704921084083098,0.865419968285451,0.8872216867365864,0.8671183688639874,0.8700343282084778,0.8838242136230716,0.8796625610519859,0.8787492239250209,0.8649447100298582,0.8732756495141574,0.8845363211179733,1.0,0.8699831295800396,0.8838884188657062,0.8739102272880759,0.8873511806008875,0.8819708945100656
DM_B2_16,0.8706961927208695,0.856947060904418,0.8669507414586584,0.8486906594402587,0.8621345452494673,0.8920440590896046,0.9129127607755683,0.8907786773483358,0.8959144654436316,0.8945242817829279,0.8712287775195904,0.8694659057945805,0.8602256736960399,0.9151303187753683,0.8699831295800396,1.0,0.9153898786356277,0.915484023857053,0.9060664516878201,0.928545426123994
DM_B2_17,0.8854360843062289,0.8670970913041758,0.8783860140839104,0.8709237797853291,0.8786503337361198,0.9045221698029681,0.9190667810294347,0.9087129105683802,0.9028831205052229,0.9072329310598936,0.8847432807427748,0.8752515765567881,0.8701080004775537,0.913676668591052,0.8838884188657062,0.9153898786356277,1.0,0.9253659496070122,0.9206403199718387,0.9260486472096142
DM_B2_18,0.8840742141536685,0.86836036324495,0.884184943282641,0.8622732424253003,0.8732969981679846,0.9023423483749162,0.920218373409886,0.897776169029916,0.8996439930780178,0.8909052718765823,0.8798046756402773,0.887643952712994,0.8679575596612582,0.9105057437004301,0.8739102272880759,0.915484023857053,0.9253659496070122,1.0,0.9049575770009555,0.9197654137796919
DM_B2_19,0.880923463718185,0.8667512070320363,0.8629151971273624,0.8587859337739202,0.867315935936683,0.897524446268526,0.8964936332205081,0.901907116639642,0.8982539521431459,0.9069756284611907,0.8841027162925043,0.8808239646339021,0.8636979563421461,0.9143422963787956,0.8873511806008875,0.9060664516878201,0.9206403199718387,0.9049575770009555,1.0,0.9156183297722715
DM_B2_20,0.8872643708367959,0.865303274661621,0.8717614796927382,0.8571841464465059,0.8683096955885918,0.8997240510808725,0.911224847654401,0.9015406367172057,0.9067037690147632,0.9048952595191272,0.8790929324354069,0.8752593355631352,0.8667518297639912,0.9175581011389428,0.8819708945100656,0.928545426123994,0.9260486472096142,0.9197654137796919,0.9156183297722715,1.0
