Accession,PeptideCounts,Name,Gene.name,NDM_B1_01,NDM_B1_02,NDM_B1_03,NDM_B1_04,NDM_B1_05,NDM_B2_06,NDM_B2_07,NDM_B2_08,NDM_B2_09,NDM_B2_10,DM_B1_11,DM_B1_12,DM_B1_13,DM_B1_14,DM_B1_15,DM_B2_16,DM_B2_17,DM_B2_18,DM_B2_19,DM_B2_20,Number of samples imputed,Fold-change (DM/NDM,pValue,qValue,tStatistic,RepeatedlySignificant
P50897,4,Palmitoyl-protein thioesterase 1,PPT1,3496899.66390519,1285464.13083785,3146966.34340462,6083363.70257063,2254489.17689308,7000629.12354782,7587151.81170675,8220919.04686208,5201310.83995149,8319439.77913366,2506874.03378715,3648863.28564606,5329487.82376484,7372588.640409,5506080.58093308,11745337.9874672,8496986.91596639,16904376.7376467,10663470.8871405,5113893.31671283,0,1.46944689976943,0.0736186132592011,0.399711771208085,1.88473123248983,False
P50990,20,T-complex protein 1 subunit theta,CCT8,20353591.3847029,31787612.1825258,36499496.9292892,27458959.773299,19230483.8447642,26660725.9295006,28586911.6526138,17924279.1978315,22443052.2127392,27460486.7162635,22795688.1255188,18163843.702964,14474453.2502231,28399212.0543967,29888871.3516691,23951603.417829,29414338.4403361,26701057.4911275,31278838.5223368,30078406.5789474,0,0.98738693398902,0.902556425286895,0.826708499711055,-0.123946096906544,False
P50991,13,T-complex protein 1 subunit delta,CCT4,11632659.6286866,26579717.0644569,24528836.9705887,16824071.3616517,17974558.3672255,14610343.0902213,15263881.3654921,16570984.9554351,12640378.3523493,19281760.5077428,16338047.6423709,16210858.5721315,16160309.0647394,18961601.4376278,17338320.9030721,14705096.6658581,20591113.8962785,23779911.7977068,18147675.846446,19765525.567867,0,1.03462774701041,0.647058536026061,0.760737113067147,0.464628900460298,False
P50995,11,Annexin A11,ANXA11,7585855.49305968,20145857.9355431,17569259.9628806,18754543.0257641,2553234.72900923,13174775.7432811,20727294.2087512,20435945.2251217,29245986.9755637,34331443.6737315,24823592.0446621,12949481.6022635,24690673.7805241,33517812.4666667,24459262.1043839,16121126.2199313,22073767.4357743,12851340.2384202,26611351.6219027,21043932.5207756,0,1.18760760718942,0.181647028528858,0.531816779575184,1.38230418857815,False
P51148,7,Ras-related protein Rab-5C,RAB5C,22763122.2897873,37491614.0703166,25911689.6090759,31217218.4385392,26417671.8070458,21132272.9108857,24582454.8122837,39524607.0325278,35459552.3439044,26804934.8683365,20818986.0650838,29676177.1057659,29413395.0309635,31329259.1541922,22530854.5602203,25015514.630281,20284172.3039616,26694254.2406042,22282749.7924579,25304625.2677747,0,0.869706554892305,0.262028385727222,0.587927183588789,-1.15313324382855,False
P51149,13,Ras-related protein Rab-7a,RAB7A,113211718.991522,103275208.27357,71552076.8605682,96501965.381835,85057038.242746,115818968.493141,87089471.4653413,62685173.2164844,92452076.5250202,113684561.054021,76258186.4743483,67840536.123654,72362157.6867952,66148125.6683027,99136627.4146892,62406553.2929048,66755308.8787515,81925593.2072982,75475874.5387954,54676788.3379501,0,0.768048494339582,0.0171156343055691,0.221048813086795,-2.59294237601633,False
P51178,11,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1",PLCD1,7158178.85471864,1885203.21626363,1294756.33141606,2275167.86438423,4875384.65196386,3435254.43208028,850325.010916837,9042856.38748507,6724939.86717276,7502500.80282595,2310289.92777686,1298505.1899314,5377250.79017821,3837803.66932515,9884028.29270179,9489815.99231858,7997174.71490996,3871984.99467649,9535262.48372219,7547645.61865189,2,1.35753910355216,0.229100543425147,0.572381325329629,1.23939356896964,False
P51452,5,Dual specificity protein phosphatase 3,DUSP3,4525811.63284824,6956038.06659961,6605816.7395121,5344188.96292246,4439181.83954262,10466818.670913,10490548.9056537,738129.270789304,3823991.32955365,2779126.36405481,3644175.92570148,4491324.80780364,4824059.60775035,4392165.82867076,6031116.27811466,2914572.67661209,3019784.72417767,3317520.07703158,6910576.17112985,5832217.30655586,4,0.807865314518023,0.840174480805185,0.819283344390874,-0.20422811706718,False
P51553,1,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",IDH3G,707713.848897049,1929340.42933357,2378265.8812513,1502330.66402568,3860546.10636106,3571999.67230932,4376702.12407917,3056160.8744372,3226671.50116791,3369856.60504531,3841999.15389049,3665774.87778528,3000089.19088362,3571783.21779141,2259590.57892213,3611462.5507206,3532520.7817527,3025490.54832105,2366195.28743896,3402381.20452447,8,1.15360125138878,0.218061354365415,0.558253063752611,1.2704212607281,False
P51570,9,Galactokinase,GALK1,2552894.97447463,5380510.85079587,1856928.89895832,1108345.82552121,2907776.3146357,2799906.7843076,10569344.1417414,6553430.41151337,3518081.92399605,8765066.09926378,1805874.04092645,1684382.05120412,313769.836501798,2224175.59132924,1788791.53038255,5324014.21293713,10620897.0861945,12687211.8195468,7049401.0465274,5935299.65327793,2,1.07436123966702,0.593045754868627,0.744753923472317,-0.542847737509759,False
P51572,13,B-cell receptor-associated protein 31,BCAP31,69731462.057668,51666209.9637047,32310312.834618,28534446.5066651,25554995.1265725,26342388.9034767,39311357.9959173,12378005.3960305,46403184.9038721,24628209.3020766,16212370.3528142,37490822.5946509,26378298.5937965,19249790.2601227,23516742.0753024,14733054.5599353,24745595.2729892,14582767.4965875,37385530.5995659,8591080.57710065,0,0.624574607710265,0.0321720733227294,0.273698145271085,-2.29722063068512,False
P51608,6,Methyl-CpG-binding protein 2,MECP2,8628777.76701476,3083217.75634074,1375055.53716956,3574399.07393806,2175633.52805746,10161583.1515375,3772550.01917103,12979946.5533401,8447627.98760219,13493831.2217227,4132145.15490619,1148514.84989724,2386354.05050164,7562089.99079755,2892466.75795873,8901944.59793814,3513763.24,7073934.85344435,17307646.5183578,9392905.91412742,0,0.950055758835821,0.830123398760881,0.818226127002315,-0.217278775388926,False
P51636,4,Caveolin-2,CAV2,2347571.53895365,1021274.46802899,3743424.37910671,5083978.7908303,827860.779120492,4786993.02883421,3406151.55892088,2308000.45685024,2573656.29109147,4580393.44569328,4872865.37755271,515823.406543071,63502001.0600611,4748694.38785276,3808532.62057977,2247468.49849166,4078194.72364946,5794413.51128401,3448937.3147495,20390671.7880844,8,3.69655061154257,0.147820099488673,0.499834338442571,1.50361599908915,False
P51648,11,Fatty aldehyde dehydrogenase,ALDH3A2,34475012.6088867,25671686.3870911,36063546.7754611,29521300.1625076,35565338.8508229,32465071.0373362,18375049.0556492,29428997.6366811,31134991.4450633,16690896.8971669,21824404.3815374,35029303.9394466,23928993.4589902,32861170.0302658,28148389.5801751,15085172.9015565,37857924.6991597,31571334.4594595,20666073.6308555,16049118.2317636,0,0.908877869848409,0.436602446504467,0.680086216738185,-0.793336701269969,False
P51649,8,"Succinate-semialdehyde dehydrogenase, mitochondrial",ALDH5A1,5571149.47663298,12651131.2825783,21249054.2720752,15511869.4578261,7422725.46167574,9503553.99066064,11241177.2073311,7608330.14297528,12651292.6003953,4695165.03575252,2142099.57977752,4594789.74028887,4941824.38208172,5495462.71860941,7884787.18807041,8515823.41216899,2061085.86770708,5475681.22426972,4992765.86258817,10360008.1625115,0,0.522307882701918,0.00948967725955921,0.181482743058785,-2.85942410443794,False
P51659,5,Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2,HSD17B4,3245076.50916328,5965213.95303481,1057561.94664504,5879094.50436647,7045330.15014651,6041240.91136833,4112447.78494719,1794317.03611137,5306171.57694727,3026008.6571398,2044040.26249377,2528060.80786153,4826423.11562036,2360549.29406953,1848466.81163568,6221387.05093996,3745046.42228091,1990461.02184002,3576209.36385422,9765940.54939982,2,0.89497079273523,0.641093185757435,0.758578558520882,-0.473115569745547,False
P51665,6,26S proteasome non-ATPase regulatory subunit 7,PSMD7,3132752.51208416,3885548.41563107,6130021.67915127,3722481.1668739,2874216.33876049,5170058.58348296,14629372.3591018,7836655.61191767,7802679.88383793,14168722.8494969,4324384.86078366,2546860.31846995,5333783.96360096,11399129.2335378,4339350.6492281,11421933.158682,13206565.879952,19987099.6309946,13890062.4109242,12989172.2022161,1,1.43381029999045,0.0921265240891035,0.423185026411948,1.76629166397073,False
P51687,6,"Sulfite oxidase, mitochondrial",SUOX,2759426.19491044,4201623.85796747,2136624.51736419,1587180.62238672,2478134.67896628,3807841.39295574,3196930.08396201,4472568.77598089,8360733.78200521,4520306.75037465,295020.334783284,7698822.9847964,1277067.55536174,3221446.51394683,960575.359086409,141434.193716087,7480938.44619448,1464314.63449813,908144.382257189,3465106.77931671,5,0.717267805328084,0.0559338142989302,0.35525066816155,-2.02549505275802,False
P51858,11,Hepatoma-derived growth factor,HDGF,23809064.0260294,4351191.46729054,17792703.9485345,44820234.0560391,44015040.7521646,36546416.9918174,27237439.5566699,29581844.3214187,40675723.3523493,30002000.5437808,33312239.5899054,19372963.3061248,14011481.0043538,37469133.4838446,47189607.1002073,25298116.0460885,36825811.1577431,32900519.5304395,39895477.3846989,33366023.2132964,0,1.06963690818143,0.49553248752027,0.709261894965122,0.693809606557615,False
P51884,13,Lumican,LUM,471265595.917233,721700493.904145,520093221.153042,702492801.758089,727057317.841327,853129965.701268,467612402.121239,1158886998.43793,688277668.506873,478999664.590024,416953802.7478,607332391.274459,837620910.990021,536214672.220859,1174160227.63976,588264316.135031,532552637.570228,331990121.471471,743079464.387774,364093751.754386,0,0.903195776965325,0.378004810698854,0.651853003366993,-0.900944964790742,False
P51888,15,Prolargin,PRELP,138086049.312431,241964430.273745,114283004.662498,127328982.101032,102650289.399414,215540694.703674,120490357.331144,444792439.479004,182049657.407241,131417138.507101,82036238.6510045,112015328.605129,147554713.383272,277517427.370143,406989400.287721,121631951.611077,144352297.392557,118453095.672946,208249524.172545,224019909.972299,0,1.01331617915865,0.97005828441952,0.842169399018708,0.0379928204628231,False
P51911,10,Calponin-1,CNN1,25136419.6474268,4657214.23298424,2373193.88399351,15627524.8150826,2559823.19053075,38792019.4295609,91311237.2725659,28967022.8255077,9342596.327374,160546848.290873,3536807.17956168,30538849.2919786,293577.979272019,63910649.0543967,8204550.1181821,57971071.178492,2178387.81541417,15451882.7509328,3321327.22567372,18840240.3693444,2,0.538465221043926,0.26213924694079,0.587927183588789,-1.1528569278987,False
P51991,10,Heterogeneous nuclear ribonucleoprotein A3,HNRNPA3,10287066.4550753,4469864.78354032,5235151.9547879,7124694.27435445,4030285.44636366,29871950.6795166,9854381.0521878,16515170.1548286,12854465.5255593,42818939.4708485,10914064.0765399,4678373.17594361,6529121.69447524,34782174.0380368,13864296.1578443,33714197.7820902,28542875.6153661,16519142.6767677,19332505.9450172,32286081.3065559,0,1.4061237431163,0.0747781887111536,0.401100882140137,1.87658690612237,False
P52209,23,"6-phosphogluconate dehydrogenase, decarboxylating",PGD,105461363.193062,398013302.667483,254851147.273731,303276449.897348,354335696.203926,259378355.995714,203233649.458596,225259948.355233,271017570.132962,165781926.628845,266435853.860203,230584788.750434,166874706.940426,344274801.026585,256113916.491353,269703003.594097,405441123.769508,332262251.492401,262538743.52505,250769546.629732,0,1.0961931910232,0.379452322696001,0.65200788821375,0.898161132563609,False
P52272,15,Heterogeneous nuclear ribonucleoprotein M,HNRNPM,10845425.4212009,2573952.30623579,1780207.92206598,1938470.25891334,1763937.03873185,19270001.308646,13128115.7557469,6398522.87259947,24278324.9995508,28268756.1360879,3641072.78274946,7933528.72503473,3826849.73755375,18008361.4862986,24592255.7281193,9296377.59005458,19054610.9546218,12362356.6070616,31039675.2428106,28771457.8301016,0,1.43793840961441,0.0489355798761137,0.335456946076565,2.09247466847916,False
P52306,5,Rap1 GTPase-GDP dissociation stimulator 1,RAP1GDS1,1476033.94441285,4108387.56353437,1299912.73108499,983308.33274152,1542852.97680055,1453473.80465407,4394783.55720245,687372.149807038,3563418.03126404,3289429.79643902,707516.593059937,2937420.76572337,589412.836749465,517019.920674847,2086253.78194839,1443760.76252274,1428624.63932773,3183751.16361816,2295037.87353048,4150707.26823638,4,0.848262143231057,0.493793984524823,0.709261894965122,-0.696642700379376,False
P52565,7,Rho GDP-dissociation inhibitor 1,ARHGDIA,153726863.95947,108489641.866363,59792360.5246877,139359301.038082,70420359.1938575,174369106.004585,199078237.534392,177010199.954057,212617947.511455,185595197.637908,158322353.411921,88264378.5479622,99432892.9365315,217976240.674847,109748651.239056,203586362.19527,214239846.496999,191571030.671581,168107277.608971,192411530.378578,0,1.11023697732333,0.307554078652416,0.613979024606205,1.04621363667257,False
P52566,8,Rho GDP-dissociation inhibitor 2,ARHGDIB,42094927.6365446,37255411.6708938,32815014.984032,36838933.5141544,38795743.8905902,71064761.8470076,47378331.3242212,28522221.7991363,39772359.4371575,54606201.8432884,61667208.3139631,42293488.9378546,54947628.5040158,79400989.3701431,44224716.6406274,59762643.2557105,47909813.102521,27529353.2423332,120012640.726171,39943911.5327793,0,1.34615075019877,0.121178780841071,0.468593977449557,1.61641640091148,False
P52594,2,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,2031735.7837258,2109884.06266398,1125798.30226395,1536811.09296475,2124778.84068827,1518069.69285141,2686751.66588267,3236914.95947808,2963386.25599677,2729309.75872404,1466359.17054624,2398492.9577689,3058093.4209957,5311083.02633947,2749498.61244315,3584806.51570649,3650271.47447779,3030422.90495041,1114602.29458311,896477.897506925,0,1.23553297954788,0.559778644806741,0.732675882289056,0.592758165420872,False
P52597,5,"Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed",HNRNPF,3914858.52935508,3220525.72555536,3653639.27605243,6884707.73735522,3905830.75084037,2259927.60391458,1039848.28929617,2800614.95658366,3317931.40598329,8594198.03075715,2646980.93807073,6933436.59390247,9763609.56286,2146509.85030675,4678773.50632676,6116658.29096422,1777568.76533013,1656846.62430612,3360201.82234581,3987421.64496768,5,1.08779344483196,0.814617477981573,0.815002833453775,0.237489243714244,False
P52758,6,Ribonuclease UK114,HRSP12,15581633.1862124,15329453.991604,18506787.1754142,21538918.7294335,15008927.124854,27139557.8728115,19171295.6519038,12394320.4915924,12055206.7455754,5488562.83176336,11324454.7319442,20916146.1553491,18686944.7165959,17538239.1366053,21440885.0787365,12067231.5787346,16995768.8120048,14931434.0859041,16641707.7753663,14947935.9187442,0,1.02019598051158,0.660107213442446,0.764709149984281,0.446184385821261,False
P52788,2,Spermine synthase,SMS,3713984.48011321,1091107.96965192,3477848.86124331,3060002.95694416,2175839.41748001,4809674.54193841,2076461.82679507,2284542.72328402,2248419.05322972,5374724.88624848,4323400.78079612,1899697.30939562,1519873.18837719,3111292.64306748,2478379.45313157,3346408.79729129,2878699.29051621,4293361.32396032,4294544.30236028,4876465.40027701,4,1.08938577264395,0.576688935577374,0.739323921933528,0.567205412183899,False
P52895,14,Aldo-keto reductase family 1 member C2,AKR1C2,14040499.6348903,18126286.5550114,13664615.3772134,16424141.621606,21208669.4165987,64713938.1778311,80122313.748114,10747354.5290821,71745229.3091366,18512837.5365732,24187447.7394986,28548206.4692602,33360789.3980367,38573729.8989775,20953723.6526622,63861119.403679,52117246.3913565,46652440.0568751,38979389.0631217,31136444.3167128,0,1.14899414976786,0.10001642315298,0.436631574812394,1.72199384322994,False
P52907,10,F-actin-capping protein subunit alpha-1,CAPZA1,42998350.7528369,70022977.7527549,45318502.9085224,54733087.1532256,44918895.3171473,68096269.0793349,47995422.4363184,55819952.741891,71351476.8219387,71203734.2860201,50176269.9626432,53340568.2651673,49089715.4804078,54843785.3312883,72136030.6306655,63815782.2781484,62045281.1697479,60617812.5684776,71617993.3690541,61214187.132964,0,1.04618456905057,0.551977829811392,0.730786710248407,0.604680617362518,False
P52943,6,Cysteine-rich protein 2,CRIP2,19725543.2289917,38876953.4025713,20327152.5130838,45152067.6511581,46489831.6111833,46266307.5197468,34981767.1287832,155843510.185611,23893807.6453149,95218405.7446657,36894818.1280093,25943324.6396318,32453545.7502907,51928361.1274434,21180680.1627324,39347335.6292703,134372208.192077,74859567.1325871,81340022.9367879,64556232.3084026,1,1.06853158487199,0.545919061060879,0.730613623538725,0.6140019919828,False
P53004,9,Biliverdin reductase A,BLVRA,9345115.0,11830552.7046528,9968726.8508703,235149.246475426,11859024.8493027,12666762.905918,25017902.1696104,12483624.1725627,14352236.1804869,32106035.2133733,10833382.3597875,4224074.21095288,5560721.23259147,12840837.7725971,5213494.60871516,22052733.4768547,25449227.4612245,24028230.4418054,23865621.9569542,13038290.6417359,1,1.05177476978399,0.508838768595284,0.718013241235623,0.6723107888019,False
P53007,6,"Tricarboxylate transport protein, mitochondrial",SLC25A1,2329817.10070566,12336467.1864614,1511184.48842945,5474281.51739294,5582897.58179295,1079918.56865779,3859888.3176977,4783586.01874483,3660722.75038182,2202334.10233355,2073985.59198074,1889824.18511925,2417968.58541334,1734178.15042945,9107605.73500294,4928598.9164342,2560359.5747419,3472464.10769861,1326448.92991897,3822542.99122807,1,0.77844750860827,0.528970218787961,0.725225836126963,-0.640375924560353,False
P53396,15,ATP-citrate synthase,ACLY,1399822.71628712,11622956.1321497,6448624.67687729,6641860.18008848,10769458.0251823,7990126.71277207,11114275.4060531,5248051.02871451,18474463.711706,7225074.99536145,7586719.04623942,1473665.23445641,3096505.9654128,2727321.16948875,9394698.49232744,6384902.95035375,8512872.48960384,5266821.43320593,9695831.46997649,8378012.75161588,0,0.719129889827227,0.270461833009301,0.587927183588789,-1.13235579918387,False
P53597,6,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",SUCLG1,21382624.1321374,30394917.066206,49812383.347267,35187331.7768846,13472168.4749609,26233623.7529185,28956005.1269193,12566917.0288523,23386714.889947,12976992.277528,18521108.7091151,27531139.4205164,10913206.040185,15217440.0249489,7360618.84060885,24768427.2961391,17903131.2384154,14163517.1830922,19153344.7603545,33063347.4238227,0,0.741422022128353,0.150560969401087,0.503568020157996,-1.49299008828006,False
P53618,8,Coatomer subunit beta,COPB1,610342.028859824,21008295.9629613,1689736.54605648,5144507.33634595,10249215.3259851,5097428.89306862,13887867.7163398,7120938.13029495,17603842.5406522,8733577.82344965,10255737.565393,1778920.5973573,1903366.84727818,8163311.4997955,1904555.42686322,8227177.04629068,23306021.2552221,11892932.3209573,11243209.4375113,7578842.46537396,5,0.946331258250464,0.96402751468347,0.839800241506769,0.0456503266997908,False
P53621,14,Coatomer subunit alpha;Xenin;Proxenin,COPA,7346230.96595756,10416607.5454784,5428282.56056983,6820747.67191973,12077936.589428,5885786.33032666,11263571.6428508,9540896.14674263,12732729.6819693,16200733.5113823,3835484.68869334,4752353.9838775,3118239.37870143,14355931.2638037,9744674.10435294,15218161.803113,19631697.0477791,17217326.2617163,10563749.0956773,14128188.9889197,1,1.15199824515304,0.876471977254156,0.825812662811676,0.157382546640075,False
P53634,8,Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain,CTSC,14634729.8129863,16349456.0486269,9735126.320414,13485198.4778648,8641590.84315583,2104340.38244541,10546949.7062217,5940498.03193053,8535781.52951217,19477158.9730964,11528331.2238917,6710343.30098703,3916563.24589632,29934945.0633947,15226324.334839,38015935.3761876,6827116.95495798,7765400.22850123,556456.0473639,7905413.71191136,0,1.17300918905625,0.690889581161449,0.778096232572657,-0.403276622053162,False
P53985,2,Monocarboxylate transporter 1,SLC16A1,2790828.602696,836420.452096515,550437.851932048,1291556.88210971,4533246.18795402,233524.18567795,875290.659403568,3624097.93783883,3033741.17801635,906635.5414615,532064.890552881,1935665.5638165,4053358.35011421,2493788.84781186,1749444.38526746,1621110.96383798,4011690.71198079,1292787.68068068,2506481.87542955,977328.521942163,7,1.13375304174219,0.377096396114562,0.651298791049508,0.902695616033186,False
P53999,3,Activated RNA polymerase II transcriptional coactivator p15,SUB1,3813008.52882835,5633549.82263425,3110020.98808095,2675985.60554853,5208405.17434245,4003220.7426779,2391145.11702316,2261873.3273454,4105940.11490432,6380666.20306867,3071335.73675909,4552457.02935047,5198829.24380031,4039679.4498737,5457508.99661232,3653643.38463715,3093737.90314526,2904392.68900719,3900337.36274519,4594698.13573407,8,1.0223021528694,0.742727388817143,0.798823546685696,0.332682543506517,False
P54136,12,"Arginine--tRNA ligase, cytoplasmic",RARS,6717216.58231447,977583.702247682,6579878.486632,3494737.39328572,2820685.08889819,8780531.02030388,21672837.0418035,2966857.19346687,11972090.5489174,13882627.4855491,3421525.41889424,11399156.4217891,2909738.31079363,14303185.8294479,3081982.6717817,9999103.03577926,9730586.97046819,13405805.1560652,11599841.6069814,13831487.0637119,2,1.17300895556105,0.27111750553505,0.587927183588789,1.13076055773045,False
P54289,16,Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1,CACNA2D1,6537739.74397084,6191036.52383243,2785237.09390205,4324969.91579678,828766.6925797,8118124.72531918,4634984.61373924,10509497.6095746,2773226.47273381,10264754.8761864,1057163.22517848,3304791.66702848,6947868.97144325,11954867.3607362,10347915.8346224,1285836.4419244,9944189.59903962,9520764.19613666,6918579.57772653,6664177.46999077,1,1.19270030353735,0.711308257081037,0.788733295532262,0.375240040871646,False
P54577,8,"Tyrosine--tRNA ligase, cytoplasmic;Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed",YARS,651618.173465712,2239497.94609328,1344289.01914492,2831826.82688026,1297597.49666219,3913025.25197113,5513510.02494009,2145144.5044314,7485411.0887162,4036812.25419254,6176947.28166921,6570069.18719982,11362677.6083401,4513786.09832311,2442601.369845,153503.1623635,4280847.97378151,13501050.6633907,2980498.42485079,2316332.68097876,7,1.72601722912536,0.393705012217464,0.659915516841869,0.871116180799727,False
P54578,16,Ubiquitin carboxyl-terminal hydrolase 14,USP14,21982893.2348076,29975637.3744971,21642815.7013393,11191547.3741434,16887462.2161757,25421864.3365576,42664717.3591018,29942493.8022604,30810082.6763094,35677225.5955184,18221655.4142454,23044954.0472676,13314748.2085778,32537053.1582822,13607416.0824336,43364960.5700424,36807861.3570228,43596930.1656202,27346588.5589618,38229412.488458,0,1.08968870321152,0.664980738881359,0.76714524248479,0.439336147386778,False
P54652,15,Heat shock-related 70 kDa protein 2,HSPA2,4329432.03510983,489322.223481901,2220845.71195679,1518189.34211283,2056496.05381637,577516.421378336,2561591.6540339,4806255.41468345,7429328.64491061,3836478.81053308,3653976.72037471,638425.970331133,1076157.75753806,3146762.03660532,2525225.2393971,2650030.54914089,3089160.70396158,1901253.3993539,3158899.01957859,6247732.75438596,6,0.941733258221781,0.827594426887726,0.818187832819081,0.220568489579485,False
P54709,4,Sodium/potassium-transporting ATPase subunit beta-3,ATP1B3,4919428.7365911,1123309.95767011,926969.173150421,1698512.41488593,1497413.18124435,1234658.76727098,3573851.63159743,3591732.2453831,2118028.11423023,1998866.28056091,1248658.17674747,1035907.13383553,2001849.53516861,4495713.07918476,7026400.08183028,3288179.81278801,5337549.34838402,4693356.55220845,8035747.20846553,1601922.64345573,11,1.70901890347351,0.120956833176262,0.468593977449557,1.61743971142,False
P54725,13,UV excision repair protein RAD23 homolog A,RAD23A,34633232.4327293,36545169.8539444,33875983.2795492,36046640.2723882,11007054.4188019,31922571.6888204,22095013.622526,32926438.9116053,28642345.1028659,26413471.0486691,13538392.0710609,28461647.5714947,13563924.319073,23618488.192638,25406118.8820654,24487337.1178492,29799361.6657863,17378903.4616435,18184015.1433351,31424517.3268698,0,0.767958595832928,0.127517105236195,0.476445128823285,-1.58783585549904,False
P54727,15,UV excision repair protein RAD23 homolog B,RAD23B,75731737.5145398,95004037.7470701,93502713.9966893,114542039.331463,94515598.3145696,98034539.9726064,62164464.7319606,79974881.0658826,89286944.5916809,68529509.5554128,69519711.5540428,67494300.5325923,75953225.1615782,69963378.7533742,103026690.90895,84327053.4869618,85372842.1858343,86537346.6557467,122319763.528667,77773075.1154201,0,0.966716940933921,0.708362661482265,0.787615499104467,-0.379265156265713,False
P54819,10,"Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed",AK2,6902490.78824928,7834809.0695732,20309964.5141873,28351775.8956713,13963008.8583137,20909436.992669,21584088.7232626,15021050.877056,23223001.169257,21110370.0367516,11630579.7841607,8969665.78094246,3252430.57005327,15043915.190184,10406172.82415,10976873.7097231,18117631.3570228,20327262.1571572,22049502.2124254,8875171.01108033,0,0.723448506341777,0.108007493932428,0.447941514468753,-1.68007931209786,False
P54920,12,Alpha-soluble NSF attachment protein,NAPA,10069906.727389,18146719.2885255,3668231.47357333,3848729.25778562,6536783.27645465,5303096.93227544,6607353.78654478,2653779.09652669,10933557.8694637,2951383.78248769,1553898.83322265,5968776.99403728,2892312.96614295,13502066.7685072,10340977.0368623,7160621.16818274,11541721.8631453,2590167.55546456,2836831.43714957,8106533.80886427,0,0.940248013910217,0.744611150932705,0.798823546685696,-0.330151608362509,False
P55010,4,Eukaryotic translation initiation factor 5,EIF5,2140677.9830434,6024387.14929159,3456662.83261157,6116114.7056068,7565162.81747712,3211887.95215352,6402900.88448567,6935513.525888,5783795.86259096,11663887.9147934,7371516.08251702,3380124.95773996,3241816.57751697,2884567.4508515,2038705.516892,6672642.57372145,8744065.92288115,3613886.67795068,1968575.77147766,6296386.56001847,3,0.779283563780948,0.255244095359894,0.587851806731667,-1.17021066397945,False
P55036,7,26S proteasome non-ATPase regulatory subunit 4,PSMD4,5143835.17376638,2444817.4304268,7327400.18409216,3443935.50738802,5057055.99660711,9861683.14493751,4337719.21780421,3094200.80777359,6650387.15744318,3956185.37889817,3574355.20928109,5475120.78021883,397039.135090186,10247138.3701431,939758.965806082,10765300.4572468,6350998.49085234,6634104.70711621,2017591.56728161,8578469.08587258,0,1.07137286021794,0.5141690578878,0.721090302628091,-0.663787880817732,False
P55058,3,Phospholipid transfer protein,PLTP,3484865.99536047,3518751.26709002,1645516.51253198,3454361.62808545,3889059.16881793,3334712.98802773,3464916.82901393,1848414.45823762,980351.34179319,3503967.97495183,1816424.72696331,2673587.95472965,1285581.93884367,2716787.6814426,5288268.43844639,2299196.75940974,235468.207729729,3548616.35053027,7289662.95595949,3590226.04755309,8,1.05558480503145,0.660282724451565,0.764709149984281,-0.44593738359347,False
P55060,15,Exportin-2,CSE1L,39959563.9071264,3653617.94511982,43041874.3274199,52467539.2204262,40109318.4064421,42594820.4862713,23463562.4598385,38203942.9812552,24897918.4655467,59362453.9077999,73958757.5469035,10181369.119557,35238240.2486835,30885127.3083845,8160315.2824614,22889203.4428947,55140890.3226891,36624448.7856038,30716847.0704467,44288238.3795014,2,0.946510053300477,0.855916014810424,0.821068367518388,-0.183860777207821,False
P55072,44,Transitional endoplasmic reticulum ATPase,VCP,545653068.821568,432961450.069967,540437561.665022,331022926.727005,369859758.663993,701561749.185645,869401752.285435,549741438.403933,524043422.140868,628956316.192107,471569118.703304,498146456.640037,426884671.245842,676960895.026585,505708254.253937,729670810.66505,668342880.019208,727641659.71426,597020843.8913,580055582.594645,0,1.0706929773143,0.324727064802742,0.619186017833498,1.00883852188737,False
P55083,2,Microfibril-associated glycoprotein 4,MFAP4,11397624.6842609,8376603.43143257,5496722.04708479,10533392.7289709,5919526.7876578,33491707.9462632,16479816.2718559,27595696.1090692,14130592.989399,4668756.23292657,5641358.72961979,28593432.6679515,9810867.10105736,18596969.9566462,12469742.366349,25210464.2700627,11038229.9529412,13107312.5393575,28184927.6871948,7009334.07202216,1,1.15621791222287,0.422911206407058,0.673310065329544,0.817613611532801,False
