Accession,PeptideCounts,Name,Gene.name,NDM_B1_01,NDM_B1_02,NDM_B1_03,NDM_B1_04,NDM_B1_05,NDM_B2_06,NDM_B2_07,NDM_B2_08,NDM_B2_09,NDM_B2_10,DM_B1_11,DM_B1_12,DM_B1_13,DM_B1_14,DM_B1_15,DM_B2_16,DM_B2_17,DM_B2_18,DM_B2_19,DM_B2_20,Number of samples imputed,Fold-change (DM/NDM,pValue,qValue,tStatistic,RepeatedlySignificant
P04003,16,C4b-binding protein alpha chain,C4BPA,8856807.55893453,52239143.8114396,26772652.0992526,32017077.9186305,20172222.0634956,21064626.2928557,54996586.5185941,68150730.2297161,16026313.9192346,34973657.7424534,32438704.8489125,21459844.2319382,7186936.51761811,74046945.5697341,19881101.1655787,38703548.4467354,69336490.2223289,74226864.8339248,72592393.5856394,55010660.9741459,0,1.38659511003815,0.294367804618629,0.606452439173249,1.07593097040173,False
P04040,29,Catalase,CAT,1755273816.72138,1197521645.79325,991997543.581855,687706210.288292,927799504.824958,817900668.154625,1068214574.28774,820726588.79445,692676950.026952,669023004.923999,819881399.352482,839972953.846822,434870437.058871,900494516.973415,444791392.251647,1060435366.16131,1085514198.55942,1157743157.79416,640264607.189365,864949169.43675,0,0.856688527791782,0.21654708702133,0.55792310220854,-1.27477110617962,False
P04075,24,Fructose-bisphosphate aldolase A,ALDOA,183136426.635562,453443222.144481,304008824.117578,268331237.74687,192990450.224724,270294663.179783,321459680.531641,276910106.147202,290654821.040338,554404799.325626,215978749.460402,154155986.989117,193189827.00722,334253168.498977,114938293.730471,442233434.800889,346646551.510204,617309944.353444,622306233.726714,300644675.623269,0,1.07254466276921,0.922097128321764,0.827857818900173,-0.098994683741581,False
P04080,5,Cystatin-B,CSTB,115926819.480058,171463326.556761,220975163.994181,151476091.270277,228249013.835951,152417115.251687,190087286.385018,209288328.489387,174250167.842063,210843613.673018,131861853.46007,82118696.8066169,82172519.3596365,192711942.04499,156599991.948458,217943118.613301,284935136.633854,187276478.778779,223250047.888407,238224431.671283,0,0.984721609811129,0.551303152787601,0.730786710248407,-0.605715914715045,False
P04083,24,Annexin A1,ANXA1,629944378.027503,1035939589.1639,761084591.134817,813511135.812393,1284626463.04171,520852430.746084,1058842088.311,977274224.156942,915957278.321804,683694562.049525,739696185.472356,782871130.977191,1308477837.02912,1289281878.03681,1304074759.86913,872361857.085102,1407802870.4922,930089387.159887,869523315.563393,836540126.038781,0,1.19109016633389,0.143805538574143,0.497006182878051,1.51947551704704,False
P04114,115,Apolipoprotein B-100;Apolipoprotein B-48,APOB,96866765.7391372,349162723.382019,67053508.7857609,197554482.670676,64470154.8822402,103069570.600884,255653217.045354,288837299.69218,84593817.9319019,195331776.457575,276055597.011456,76616796.8674019,12557869.4550961,363698880.548057,128505088.93435,370532770.774207,518479993.805522,407829356.679407,327645241.951528,272932583.056325,0,1.61803417837543,0.343332264248252,0.62953495777516,0.969873997831942,False
P04179,9,"Superoxide dismutase [Mn], mitochondrial",SOD2,89651458.6579471,177797473.946126,80369520.2944471,161614850.62603,72137476.9779021,101278924.8295,148922996.205734,197790479.564458,90764565.8656006,135478492.27503,84717354.1615474,67171057.1487496,68412236.1786419,146181295.824131,50709601.3805959,141988320.974328,110840019.447779,68913526.1752662,106575551.87647,129148307.802401,0,0.776120742605648,0.112216438411231,0.452941459078393,-1.65905381568412,False
P04180,2,Phosphatidylcholine-sterol acyltransferase,LCAT,1501114.4014182,579914.400417879,1412811.3840813,725623.87320938,1225723.22497384,1090649.17924334,986101.644048993,1095601.60144262,1523142.76023249,1760986.98843931,1214570.01754452,1375112.48367165,1808322.93301833,1199996.85292434,2388997.74388613,1246050.54361639,1230638.33738295,2081709.61948312,1487037.83270031,2192740.06694368,10,1.36326895055356,0.0746445427096483,0.401100882140137,1.87751990351133,False
P04196,13,Histidine-rich glycoprotein,HRG,55338289.2276475,65996911.9411405,46066962.1331951,55580505.8456467,39534886.9175351,72491972.8470147,71241675.9292624,96061565.2899017,80249947.2095948,90763587.4901877,22125409.2478831,75045211.8798483,57704739.4223749,77184152.2740286,58984117.7095257,70364730.0610471,126106324.960384,78148088.3542634,179879519.601194,202766228.43952,0,1.4083936943291,0.201047464990528,0.544755748559004,1.32071076982035,False
P04216,4,Thy-1 membrane glycoprotein,THY1,11137347.0351152,37834066.6840126,15262161.7473707,6044775.88711216,16004402.4828703,24518583.0252149,20391377.6759563,20938278.4305798,33626798.2297188,24561520.4060515,10469073.3772207,1812191.67368589,16616710.7438005,15301526.9492843,38754631.0730749,11372062.3205983,20490595.0122449,11133519.4812995,32506768.7172183,25798464.7137581,0,0.876075252704845,0.387969542233416,0.657189567517688,-0.881921037162157,False
