analysis_type,direction,pathway_library,pathway,enrichment_adjusted_p_value,candidate_gene_count,candidate_genes_reconstructed
primary_fdr,increased,Reactome_2022,Signaling By CSF3 (G-CSF) R-HSA-9674555,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,Signaling By Cytosolic FGFR1 Fusion Mutants R-HSA-1839117,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,Signaling By Erythropoietin R-HSA-9006335,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,Signaling By FGFR1 In Disease R-HSA-5655302,0.0449789036402694,1,STAT5B
primary_fdr,increased,Reactome_2022,Signaling By FLT3 Fusion Proteins R-HSA-9703465,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,Signaling By FLT3 ITD And TKD Mutants R-HSA-9703648,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,Signaling By KIT In Disease R-HSA-9669938,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,Signaling By Leptin R-HSA-2586552,0.0421005851346799,1,STAT5B
primary_fdr,increased,Reactome_2022,Signaling By PDGF R-HSA-186797,0.0478084118089394,1,STAT5B
primary_fdr,increased,Reactome_2022,Signaling By SCF-KIT R-HSA-1433557,0.0449789036402694,1,STAT5B
primary_fdr,increased,Reactome_2022,Syndecan Interactions R-HSA-3000170,0.0421005851346799,1,VTN
primary_fdr,decreased,GO_Biological_Process_2023,Apoptotic Mitochondrial Changes (GO:0008637),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,B Cell Proliferation (GO:0042100),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Cellular Response To Unfolded Protein (GO:0034620),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924),0.0464680270675297,1,GAS1
primary_fdr,decreased,GO_Biological_Process_2023,Chaperone-Mediated Protein Complex Assembly (GO:0051131),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Cholesterol Biosynthetic Process (GO:0006695),0.0464680270675297,1,TM7SF2
primary_fdr,decreased,GO_Biological_Process_2023,Establishment Of Protein Localization To Mitochondrion (GO:0072655),0.048010042856707,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Intracellular Protein Transmembrane Transport (GO:0065002),0.0480368755489959,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Isotype Switching (GO:0045190),0.0464680270675297,1,HSPD1
