,NDM_B1_01,NDM_B1_02,NDM_B1_03,NDM_B1_04,NDM_B1_05,NDM_B2_06,NDM_B2_07,NDM_B2_08,NDM_B2_09,NDM_B2_10,DM_B1_11,DM_B1_12,DM_B1_13,DM_B1_14,DM_B1_15,DM_B2_16,DM_B2_17,DM_B2_18,DM_B2_19,DM_B2_20
DM_B1_11,0.8634988213972009,0.842793873446897,0.8705048905123248,0.8566022539961942,0.8733170834533069,0.8812989600374384,0.8557052946695882,0.8621789164619477,0.855792838020459,0.8542961492204091,1.0,0.8649431163439301,0.8665330582210186,0.8853288170003293,0.8787492239250206,0.8712287775195904,0.8847432807427746,0.8798046756402775,0.8841027162925043,0.8790929324354068
DM_B1_12,0.8740239919704662,0.8768505895277207,0.871612128522516,0.8665246449787442,0.8717404776391803,0.8726504266619166,0.8613683153540775,0.8633578262075474,0.858568852894386,0.8429207211695103,0.8649431163439301,1.0,0.8744182411462869,0.876710704356398,0.8649447100298581,0.8694659057945805,0.8752515765567881,0.887643952712994,0.8808239646339021,0.8752593355631352
DM_B1_13,0.8703883050561406,0.8496929271113661,0.8612225214678607,0.8570815244972407,0.8653350533905241,0.8655859699328996,0.8502154551091784,0.846144655881577,0.8606948325488715,0.84271255803619,0.8665330582210186,0.8744182411462869,1.0,0.8648804732006218,0.8732756495141573,0.8602256736960399,0.8701080004775537,0.8679575596612585,0.863697956342146,0.866751829763991
DM_B1_14,0.8820975319450403,0.8594503338918641,0.8669186333240518,0.8587293857545508,0.8640776071734818,0.9005373392372363,0.9023645568522416,0.8923635852914908,0.8990984737194029,0.9001883846745383,0.8853288170003293,0.876710704356398,0.8648804732006218,1.0,0.8845363211179735,0.9151303187753683,0.913676668591052,0.9105057437004302,0.9143422963787958,0.9175581011389425
DM_B1_15,0.8839571282692599,0.8540852972826877,0.8694821958787367,0.8704921084083098,0.8654199682854511,0.8872216867365865,0.8671183688639873,0.8700343282084779,0.8838242136230717,0.8796625610519858,0.8787492239250206,0.8649447100298581,0.8732756495141573,0.8845363211179735,1.0,0.8699831295800396,0.883888418865706,0.8739102272880761,0.8873511806008874,0.8819708945100655
DM_B2_16,0.8706961927208696,0.8569470609044181,0.8669507414586585,0.8486906594402589,0.8621345452494674,0.8920440590896048,0.9129127607755679,0.8907786773483362,0.8959144654436321,0.8945242817829282,0.8712287775195904,0.8694659057945805,0.8602256736960399,0.9151303187753683,0.8699831295800396,1.0,0.9153898786356279,0.9154840238570533,0.9060664516878204,0.9285454261239942
DM_B2_17,0.885436084306229,0.8670970913041758,0.8783860140839105,0.8709237797853293,0.8786503337361194,0.9045221698029682,0.9190667810294348,0.9087129105683802,0.9028831205052227,0.9072329310598936,0.8847432807427746,0.8752515765567881,0.8701080004775537,0.913676668591052,0.883888418865706,0.9153898786356279,1.0,0.9253659496070127,0.9206403199718385,0.9260486472096143
DM_B2_18,0.8840742141536685,0.8683603632449503,0.884184943282641,0.8622732424253005,0.8732969981679846,0.9023423483749163,0.920218373409886,0.897776169029916,0.899643993078018,0.8909052718765823,0.8798046756402775,0.887643952712994,0.8679575596612585,0.9105057437004302,0.8739102272880761,0.9154840238570533,0.9253659496070127,1.0,0.9049575770009557,0.919765413779692
DM_B2_19,0.8809234637181853,0.8667512070320362,0.8629151971273624,0.8587859337739205,0.867315935936683,0.8975244462685259,0.8964936332205082,0.9019071166396418,0.8982539521431456,0.9069756284611907,0.8841027162925043,0.8808239646339021,0.863697956342146,0.9143422963787958,0.8873511806008874,0.9060664516878204,0.9206403199718385,0.9049575770009557,1.0,0.9156183297722714
DM_B2_20,0.8872643708367962,0.8653032746616209,0.8717614796927384,0.857184146446506,0.8683096955885917,0.8997240510808725,0.9112248476544011,0.9015406367172059,0.9067037690147632,0.9048952595191272,0.8790929324354068,0.8752593355631352,0.866751829763991,0.9175581011389425,0.8819708945100655,0.9285454261239942,0.9260486472096143,0.919765413779692,0.9156183297722714,1.0
