,NDM_B1_01,NDM_B1_02,NDM_B1_03,NDM_B1_04,NDM_B1_05,NDM_B2_06,NDM_B2_07,NDM_B2_08,NDM_B2_09,NDM_B2_10,DM_B1_11,DM_B1_12,DM_B1_13,DM_B1_14,DM_B1_15,DM_B2_16,DM_B2_17,DM_B2_18,DM_B2_19,DM_B2_20
DM_B1_11,0.9463467253084158,0.9617887680248413,0.9973623569427476,0.95321878605688,0.9981394218494242,0.9856202213384517,0.8929979618820596,0.9850495264163875,0.9893187937360264,0.9885653280764605,1.0,0.9921771113054517,0.9070486660228095,0.9686894164875022,0.8814708402679822,0.9874817080405172,0.9236470373851299,0.9715446398269117,0.980464601517366,0.9814853010231079
DM_B1_12,0.9732803288118393,0.938397198721923,0.9877763169512515,0.9775475328236589,0.9962340842887608,0.9677649879684254,0.8564400046864491,0.9688622524776384,0.9827464553020977,0.9727908883612313,0.9921771113054517,1.0,0.9455851935751942,0.9426576843786599,0.9245715126460142,0.971792740929731,0.8855521903742366,0.9512871306669096,0.9776271405469056,0.961736856882206
DM_B1_13,0.9903508568024013,0.8005885217324246,0.8984930199391559,0.9865037193269944,0.9285788021657448,0.8560161342651162,0.7115198824596792,0.8642096569828368,0.9027658572112697,0.8569981463958684,0.9070486660228095,0.9455851935751942,1.0,0.810705017109078,0.9967609927873147,0.8531085764705935,0.7232123831817713,0.8315242576267945,0.9197357700620994,0.8296302992053275
DM_B1_14,0.8546903434063334,0.9964762981279744,0.9798533343128303,0.8686099291145112,0.9599130317847431,0.9955456238925688,0.9739102423590141,0.9945120224210953,0.9822611887499746,0.9911383903826065,0.9686894164875022,0.9426576843786599,0.810705017109078,1.0,0.774895202842945,0.9884646116172419,0.9885314646934336,0.998131943936334,0.9700998508183836,0.9875210231656358
DM_B1_15,0.9825653265287856,0.7622185825122584,0.8703832218142651,0.9777743764536992,0.9052993697018237,0.823558098004707,0.6710878246193219,0.8333299206670413,0.8757676041406861,0.8252096485127474,0.8814708402679822,0.9245715126460142,0.9967609927873147,0.774895202842945,1.0,0.8198144383903272,0.6819578337636797,0.796526603948743,0.8970889266145956,0.795198289863761
DM_B2_16,0.8984449443175981,0.9876557706395598,0.9907090365227545,0.9098216351663421,0.9800259049741026,0.9944587302244399,0.9331744196528103,0.9919968827846132,0.9884700721952393,0.9974635307404071,0.9874817080405172,0.971792740929731,0.8531085764705935,0.9884646116172419,0.8198144383903272,1.0,0.9613333753081234,0.9900225322499216,0.9728346145061236,0.9981019623923354
DM_B2_17,0.7712555318140611,0.9874038636584623,0.9416044259022852,0.7898977874590294,0.9097832232705594,0.9719317122480935,0.9906892000325953,0.9697449903578073,0.9467606819844586,0.9638633003060454,0.9236470373851299,0.8855521903742366,0.7232123831817713,0.9885314646934336,0.6819578337636797,0.9613333753081234,1.0,0.9836173164864677,0.9317969526369683,0.9648658645895715
DM_B2_18,0.8699987602058709,0.9962546467858825,0.9831638674957547,0.8831909008547055,0.9652205654198304,0.996733363943477,0.9714345024258144,0.9964221422983174,0.9878009636231074,0.9918774862953986,0.9715446398269117,0.9512871306669096,0.8315242576267945,0.998131943936334,0.796526603948743,0.9900225322499216,0.9836173164864677,1.0,0.9777541269615354,0.9870407333683329
DM_B2_19,0.9405290179246949,0.9612885128044921,0.9858141365982799,0.9499435617157176,0.9840202186429801,0.9827050313140858,0.9246067205651173,0.9879880369197694,0.993767789464672,0.9760138983357745,0.980464601517366,0.9776271405469056,0.9197357700620994,0.9700998508183836,0.8970889266145956,0.9728346145061236,0.9317969526369683,0.9777541269615354,1.0,0.962197279674649
DM_B2_20,0.8804489033438255,0.9877860987014334,0.9841951179733389,0.8936893325997005,0.971205755215995,0.9911965773647686,0.9329183129259693,0.9873342736094048,0.9814295623250384,0.9949936347873302,0.9814853010231079,0.961736856882206,0.8296302992053275,0.9875210231656358,0.795198289863761,0.9981019623923354,0.9648658645895715,0.9870407333683329,0.962197279674649,1.0
